2008-07 1
2008-08 246
2008-09 97
2008-10 36
2008-11 20
2008-12 4
2009-01 23
2009-02 80
2009-03 27
2009-05 2
2009-06 24
2009-07 13
2009-08 3
2009-09 4
2009-10 11
2009-11 10
2009-12 2
2010-01 1
2010-02 2
2010-03 51
2010-04 33
2010-05 104
2010-06 77
2010-07 30
2010-08 63
2010-09 135
2010-10 18
2010-11 18
2010-12 36
2011-01 15
2011-02 22
2011-03 45
2011-04 106
2011-05 52
2011-06 39
2011-07 29
2011-08 27
2011-09 15
2011-10 14
2011-11 20
2011-12 42
2012-01 160
2012-02 27
2012-03 28
2012-04 32
2012-05 38
2012-06 40
2012-07 26
2012-08 13
2012-09 62
2012-10 19
2012-11 23
2012-12 2
2013-01 68
2013-02 83
2013-03 49
2013-04 51
2013-05 141
2013-06 46
2013-07 185
2013-08 271
2013-09 376
2013-10 297
2013-11 255
2013-12 210
2014-01 135
2014-02 324
2014-03 250
2014-04 150
2014-05 195
2014-06 101
2014-07 108
2014-08 174
2014-09 177
2014-10 161
2014-11 203
2014-12 80
2015-01 84
2015-02 16
2015-03 106
2015-04 132
2015-05 94
2015-06 111
2015-07 257
2015-08 140
2015-09 140
2015-10 165
2015-11 89
2015-12 120
2016-01 135
2016-02 40
2016-03 39
2016-04 46
2016-05 98
2016-06 38
2016-07 10
2016-08 50
2016-09 12
